CountryID,Games,HomeWins,HomeDraw,HomeLoss,AwayWins,AwayDraw,AwayLoss,HomeWinRatio,HomeLossRatio,HomeDrawRatio,AwayWinRatio,AwayLossRatio,AwayDrawRatio,TotalPoint,SuccessRate
1,38,7,3,9,4,4,11,0.368421053,0.473684211,0.157894737,0.210526316,0.578947368,0.210526316,40,1
1,29,8,4,2,5,4,6,0.571428571,0.142857143,0.285714286,0.333333333,0.4,0.266666667,47,1
1,38,17,1,1,10,4,5,0.894736842,0.052631579,0.052631579,0.526315789,0.263157895,0.210526316,86,1
1,38,17,1,1,10,4,5,0.894736842,0.052631579,0.052631579,0.526315789,0.263157895,0.210526316,86,1
1,30,5,5,5,3,4,8,0.333333333,0.333333333,0.333333333,0.2,0.533333333,0.266666667,33,1
1,38,13,4,2,8,4,7,0.684210526,0.105263158,0.210526316,0.421052632,0.368421053,0.210526316,71,1
1,38,13,3,3,8,6,5,0.684210526,0.157894737,0.157894737,0.421052632,0.263157895,0.315789474,72,1
1,38,8,9,2,5,2,12,0.421052632,0.105263158,0.473684211,0.263157895,0.631578947,0.105263158,50,1
1,38,16,1,2,10,5,4,0.842105263,0.105263158,0.052631579,0.526315789,0.210526316,0.263157895,84,1
1,38,8,3,8,5,3,11,0.421052632,0.421052632,0.157894737,0.263157895,0.578947368,0.157894737,45,1
1,38,14,3,2,9,6,4,0.736842105,0.105263158,0.157894737,0.473684211,0.210526316,0.315789474,78,1
1,38,6,6,7,4,3,12,0.315789474,0.368421053,0.315789474,0.210526316,0.631578947,0.157894737,39,1
1,38,3,3,13,2,7,10,0.157894737,0.684210526,0.157894737,0.105263158,0.526315789,0.368421053,25,0
1,38,15,3,1,10,4,5,0.789473684,0.052631579,0.157894737,0.526315789,0.263157895,0.210526316,82,1
1,38,6,3,10,4,5,10,0.315789474,0.526315789,0.157894737,0.210526316,0.526315789,0.263157895,38,1
1,38,16,1,2,11,3,5,0.842105263,0.105263158,0.052631579,0.578947368,0.263157895,0.157894737,85,1
1,38,7,5,7,5,6,8,0.368421053,0.368421053,0.263157895,0.263157895,0.421052632,0.315789474,47,1
1,38,7,6,6,5,5,9,0.368421053,0.315789474,0.315789474,0.263157895,0.473684211,0.263157895,47,1
1,30,7,3,5,5,5,5,0.466666667,0.333333333,0.2,0.333333333,0.333333333,0.333333333,44,1
1,30,7,2,6,5,5,5,0.466666667,0.4,0.133333333,0.333333333,0.333333333,0.333333333,43,1
1,29,6,4,5,4,5,5,0.4,0.333333333,0.266666667,0.285714286,0.357142857,0.357142857,39,1
